2				0.1428571429
3				0.125
4				0.625
5				1.5
6				1.25
7				1.4444444444
8				2.125
9				0.25
10				1.6666666667
11				0.625
12				1.75
13				2
14				1.2222222222
15				2.375
16				2.875
17				2.4444444444
18				2.8888888889
19				3.6666666667
20				4.875
21				0.2222222222
22				0.25
23				0.125
24				0.1111111111
25				0.2222222222
26				0.3333333333
27				19.625
28				0.3333333333
29				4.2222222222
30				4.2222222222
31				0.2857142857
32				0.6666666667
33				1.375
34				1.875
35				2.7142857143
36				2.5555555556
37				3.375
38				3.6666666667
39				4.5
40				5.125
41				5.625
42				5.75
43				6.25
44				7.8571428571
45				7.5
46				7.5
47				8
48				8.75
49				9.375
50				9.25
51				11
52				9.4444444444
53				9.7777777778
54				9.7777777778
55				11.375
56				11.2222222222
57				13
58				12.875
59				15.1428571429
60				12.8888888889
61				15
62				15
63				14.875
64				16.125
65				18.5714285714
66				18.8571428571
67				19
68				20.4285714286
69				20.5714285714
70				20.8571428571
71				20.8571428571
72				19.625
73				22.5714285714
74				20
75				22.8571428571
76				28.5
77				24.2857142857
78				21.625
79				24.5714285714
80				26.2857142857
81				22.75
82				26.4285714286
83				26.4285714286
84				28.1428571429
85				32.5
86				28.2857142857
87				28.1428571429
88				30
89				29.7142857143
90				26.375
91				30.1428571429
92				31.7142857143
93				31.5714285714
94				28
95				27.875
96				33.5714285714
97				33.2857142857
98				33.8571428571
99				39.3333333333
100				31.125
1100				4.8
2100				8.5454545455
3100				10.8461538462
4100				18.6
5100				20.9090909091
6100				22.8333333333
7100				26.4166666667
8100				27.6923076923
9100				28.8571428571

