2		0.2
3		0.2
4		1
5		2.4
6		2
7		2.6
8		3.4
9		0.4
10		3
11		1
12		2.8
13		2.8
14		2.2
15		3.8
16		4.6
17		4.4
18		5.2
19		6.6
20		7.8
21		0.4
22		0.4
23		0.2
24		0.2
25		0.4
26		0.6
27		31.4
28		0.6
29		7.6
30		7.6
31		0.4
32		1.2
33		2.2
34		3
35		3.8
36		4.6
37		5.4
38		6.6
39		7.2
40		8.2
41		9
42		9.2
43		10
44		11
45		12
46		12
47		12.8
48		14
49		15
50		14.8
51		15.4
52		17
53		17.6
54		17.6
55		18.2
56		20.2
57		20.8
58		20.6
59		21.2
60		23.2
61		24
62		24
63		23.8
64		25.8
65		26
66		26.4
67		26.6
68		28.6
69		28.8
70		29.2
71		29.2
72		31.4
73		31.6
74		32
75		32
76		34.2
77		34
78		34.6
79		34.4
80		36.8
81		36.4
82		37
83		37
84		39.4
85		39
86		39.6
87		39.4
88		42
89		41.6
90		42.2
91		42.2
92		44.4
93		44.2
94		44.8
95		44.6
96		47
97		46.6
98		47.4
99		47.2
100		49.8
1100		9.6
2100		18.8
3100		28.2
4100		37.2
5100		46
6100		54.8
7100		63.4
8100		72
9100		80.8

