0.507475	1.02315
0.409316	1.04371
0.272163	0.907994
0.186047	0.806034
0.773889	1.18268
0.523558	1.09123
0.142653	0.827592
0.357818	0.829105
0.0717526	0.800446
0.433596	1.04811
0.883248	1.28403
0.392453	0.919269
0.867542	1.32334
0.555104	1.14138
0.231946	0.877441
0.767316	1.25877
0.511809	1.06108
0.757877	1.2916
0.635469	1.21074
0.124217	0.907032
0.282895	0.915647
0.646073	1.11387
0.787744	1.32826
0.946389	1.3713
0.67517		1.18116
0.223688	0.928397
0.23385		0.893142
0.240341	0.865612
0.0617719	0.802106
0.626934	1.1986
